,year,sex,name,n,prop
1362554,2001,F,Rebecca,5883,0.00297115
1362555,2001,F,Jordan,5803,0.00293075
1362556,2001,F,Andrea,5746,0.00290196
1362557,2001,F,Mary,5729,0.00289338
1362558,2001,F,Gabrielle,5607,0.00283176
1362559,2001,F,Amber,5573,0.00281459
1362560,2001,F,Katelyn,5440,0.00274742
1362561,2001,F,Faith,5409,0.00273176
1362562,2001,F,Makayla,5317,0.0026853
1362563,2001,F,Sierra,5237,0.0026449
1362564,2001,F,Madeline,5222,0.00263732
1362565,2001,F,Brooke,5211,0.00263177
1362566,2001,F,Sara,5151,0.00260146
1362567,2001,F,Michelle,5029,0.00253985
1362568,2001,F,Erin,4957,0.00250348
1362569,2001,F,Kimberly,4881,0.0024651
1362570,2001,F,Caroline,4862,0.00245551
1362571,2001,F,Danielle,4788,0.00241813
1362572,2001,F,Vanessa,4671,0.00235904
1362573,2001,F,Zoe,4644,0.00234541
1362574,2001,F,Kaylee,4619,0.00233278
1362575,2001,F,Trinity,4479,0.00226208
1362576,2001,F,Shelby,4367,0.00220551
1362577,2001,F,Bailey,4340,0.00219187
1362578,2001,F,Jacqueline,4299,0.00217117
1362579,2001,F,Paige,4273,0.00215804
1362580,2001,F,Autumn,4191,0.00211662
1362581,2001,F,Courtney,4175,0.00210854
1362582,2001,F,Melissa,4145,0.00209339
1362583,2001,F,Jada,3983,0.00201158
1362584,2001,F,Mia,3918,0.00197875
1362585,2001,F,Angela,3912,0.00197572
1362586,2001,F,Alexa,3898,0.00196865
1362587,2001,F,Marissa,3853,0.00194592
1362588,2001,F,Christina,3741,0.00188936
1362589,2001,F,Catherine,3730,0.0018838
1362590,2001,F,Claire,3641,0.00183885
1362591,2001,F,Gabriella,3613,0.00182471
1362592,2001,F,Leslie,3612,0.00182421
1362593,2001,F,Mariah,3585,0.00181057
1362594,2001,F,Laura,3555,0.00179542
1362595,2001,F,Leah,3520,0.00177774
1362596,2001,F,Isabel,3490,0.00176259
1362597,2001,F,Caitlin,3455,0.00174491
1362598,2001,F,Molly,3414,0.00172421
1362599,2001,F,Alexandria,3404,0.00171916
1362600,2001,F,Ariana,3376,0.00170502
1362601,2001,F,Angelina,3368,0.00170098
1362602,2001,F,Breanna,3368,0.00170098
1362603,2001,F,Kylie,3353,0.0016934
1362604,2001,F,Aaliyah,3352,0.0016929
1362605,2001,F,Kathryn,3329,0.00168128
1362606,2001,F,Jade,3279,0.00165603
1362607,2001,F,Kelsey,3267,0.00164997
1362608,2001,F,Katie,3264,0.00164845
1362609,2001,F,Briana,3235,0.00163381
1362610,2001,F,Diana,3195,0.0016136
1362611,2001,F,Lily,3193,0.00161259
1362612,2001,F,Angel,3080,0.00155552
1362613,2001,F,Lindsey,3050,0.00154037
1362614,2001,F,Riley,3044,0.00153734
1362615,2001,F,Cassidy,3029,0.00152977
1362616,2001,F,Arianna,3015,0.0015227
1362617,2001,F,Mikayla,3014,0.00152219
1362618,2001,F,Maya,3010,0.00152017
1362619,2001,F,Audrey,2950,0.00148987
1362620,2001,F,Lillian,2949,0.00148936
1362621,2001,F,Isabelle,2943,0.00148633
1362622,2001,F,Amy,2936,0.0014828
1362623,2001,F,Brittany,2929,0.00147926
1362624,2001,F,Sabrina,2921,0.00147522
1362625,2001,F,Melanie,2912,0.00147068
1362626,2001,F,Margaret,2895,0.00146209
1362627,2001,F,Cheyenne,2875,0.00145199
1362628,2001,F,Jillian,2846,0.00143734
1362629,2001,F,Madelyn,2844,0.00143633
1362630,2001,F,Cassandra,2834,0.00143128
1362631,2001,F,Jocelyn,2827,0.00142775
1362632,2001,F,Kelly,2814,0.00142118
1362633,2001,F,Gabriela,2732,0.00137977
1362634,2001,F,Evelyn,2692,0.00135957
1362635,2001,F,Tiffany,2690,0.00135856
1362636,2001,F,Miranda,2682,0.00135452
1362637,2001,F,Erica,2668,0.00134745
1362638,2001,F,Alicia,2657,0.00134189
1362639,2001,F,Adriana,2640,0.00133331
1362640,2001,F,Ava,2539,0.0012823
1362641,2001,F,Caitlyn,2536,0.00128078
1362642,2001,F,Ana,2515,0.00127018
1362643,2001,F,Mckenzie,2471,0.00124795
1362644,2001,F,Angelica,2436,0.00123028
1362645,2001,F,Crystal,2429,0.00122674
1362646,2001,F,Kennedy,2406,0.00121513
1362647,2001,F,Daisy,2371,0.00119745
1362648,2001,F,Lydia,2355,0.00118937
1362649,2001,F,Skylar,2343,0.00118331
1362650,2001,F,Summer,2314,0.00116866
1362651,2001,F,Alexia,2294,0.00115856
1362652,2001,F,Kiara,2289,0.00115604
1362653,2001,F,Sofia,2288,0.00115553
1362654,2001,F,Heather,2273,0.00114796
1362655,2001,F,Erika,2230,0.00112624
1362656,2001,F,Karen,2193,0.00110755
1362657,2001,F,Mya,2189,0.00110553
1362658,2001,F,Hope,2179,0.00110048
1362659,2001,F,Sophie,2172,0.00109695
1362660,2001,F,Avery,2132,0.00107675
1362661,2001,F,Chelsea,2118,0.00106968
1362662,2001,F,Veronica,2085,0.00105301
1362663,2001,F,Juliana,2076,0.00104846
1362664,2001,F,Bianca,2071,0.00104594
1362665,2001,F,Ashlyn,2030,0.00102523
1362666,2001,F,Bethany,2029,0.00102473
1362667,2001,F,Meghan,2024,0.0010222
1362668,2001,F,Daniela,2019,0.00101968
1362669,2001,F,Natalia,2005,0.00101261
1362670,2001,F,Kristen,1991,0.00100554
1362671,2001,F,Abby,1986,0.00100301
1362672,2001,F,Payton,1984,0.001002
1362673,2001,F,Valerie,1981,0.00100048
1362674,2001,F,Karina,1963,0.00099139
1362675,2001,F,Diamond,1945,0.0009823
1362676,2001,F,Jamie,1945,0.0009823
1362677,2001,F,Cynthia,1920,0.00096968
1362678,2001,F,Gracie,1911,0.00096513
1362679,2001,F,Brooklyn,1906,0.00096261
1362680,2001,F,Shannon,1906,0.00096261
1362681,2001,F,Peyton,1885,0.000952
1362682,2001,F,Jordyn,1884,0.0009515
1362683,2001,F,Nayeli,1845,0.0009318
1362684,2001,F,Carly,1833,0.00092574
1362685,2001,F,Alondra,1829,0.00092372
1362686,2001,F,Michaela,1827,0.00092271
1362687,2001,F,Naomi,1822,0.00092018
1362688,2001,F,Kaitlin,1821,0.00091968
1362689,2001,F,Maggie,1819,0.00091867
1362690,2001,F,Monica,1793,0.00090554
1362691,2001,F,Hayley,1787,0.00090251
1362692,2001,F,Julianna,1777,0.00089746
1362693,2001,F,Gianna,1765,0.0008914
1362694,2001,F,Hanna,1757,0.00088736
1362695,2001,F,Jasmin,1756,0.00088685
1362696,2001,F,Rebekah,1737,0.00087726
1362697,2001,F,Brenda,1735,0.00087624
1362698,2001,F,Desiree,1721,0.00086917
1362699,2001,F,Ella,1718,0.00086766
1362700,2001,F,Alejandra,1717,0.00086715
1362701,2001,F,Karla,1698,0.00085756
1362702,2001,F,Mckenna,1693,0.00085503
1362703,2001,F,Kylee,1675,0.00084594
1362704,2001,F,Makenzie,1660,0.00083837
1362705,2001,F,Ariel,1654,0.00083534
1362706,2001,F,Britney,1639,0.00082776
1362707,2001,F,Amelia,1634,0.00082524
1362708,2001,F,Kate,1625,0.00082069
1362709,2001,F,Esmeralda,1621,0.00081867
1362710,2001,F,Camryn,1596,0.00080604
1362711,2001,F,Valeria,1589,0.00080251
1362712,2001,F,Delaney,1582,0.00079897
1362713,2001,F,Jazmin,1582,0.00079897
1362714,2001,F,Joanna,1554,0.00078483
1362715,2001,F,Kyra,1534,0.00077473
1362716,2001,F,Kendall,1524,0.00076968
1362717,2001,F,Aubrey,1505,0.00076009
1362718,2001,F,Lindsay,1502,0.00075857
1362719,2001,F,Kendra,1496,0.00075554
1362720,2001,F,Claudia,1495,0.00075504
1362721,2001,F,Adrianna,1490,0.00075251
1362722,2001,F,Selena,1482,0.00074847
1362723,2001,F,Sadie,1479,0.00074695
1362724,2001,F,Kara,1474,0.00074443
1362725,2001,F,Jazmine,1467,0.00074089
1362726,2001,F,Holly,1462,0.00073837
1362727,2001,F,Giselle,1460,0.00073736
1362728,2001,F,Reagan,1446,0.00073029
1362729,2001,F,Brittney,1442,0.00072827
1362730,2001,F,Jayla,1422,0.00071817
1362731,2001,F,Nancy,1418,0.00071615
1362732,2001,F,Genesis,1417,0.00071564
1362733,2001,F,Julie,1414,0.00071413
1362734,2001,F,Aliyah,1412,0.00071312
1362735,2001,F,Fatima,1404,0.00070908
1362736,2001,F,Elena,1392,0.00070302
1362737,2001,F,Savanna,1379,0.00069645
1362738,2001,F,Charlotte,1378,0.00069595
1362739,2001,F,Cierra,1372,0.00069292
1362740,2001,F,Ruby,1364,0.00068887
1362741,2001,F,Alison,1359,0.00068635
1362742,2001,F,Raven,1355,0.00068433
1362743,2001,F,Guadalupe,1342,0.00067776
1362744,2001,F,Kathleen,1337,0.00067524
1362745,2001,F,Elise,1336,0.00067473
1362746,2001,F,Mallory,1336,0.00067473
1362747,2001,F,Nadia,1331,0.00067221
1362748,2001,F,Rylee,1330,0.0006717
1362749,2001,F,Cameron,1319,0.00066615
1362750,2001,F,Macy,1314,0.00066362
1362751,2001,F,Nina,1305,0.00065908
1362752,2001,F,Rachael,1304,0.00065857
1362753,2001,F,April,1299,0.00065605
1362754,2001,F,Serena,1296,0.00065453
1362755,2001,F,Kyla,1295,0.00065403
1362756,2001,F,Katelynn,1293,0.00065302
1362757,2001,F,Casey,1283,0.00064797
1362758,2001,F,Kristina,1282,0.00064746
1362759,2001,F,Katrina,1276,0.00064443
1362760,2001,F,Asia,1268,0.00064039
1362761,2001,F,Wendy,1254,0.00063332
1362762,2001,F,Tatiana,1251,0.00063181
1362763,2001,F,Christine,1246,0.00062928
1362764,2001,F,Haylee,1237,0.00062473
1362765,2001,F,Alana,1233,0.00062271
1362766,2001,F,Cindy,1232,0.00062221
1362767,2001,F,Camille,1226,0.00061918
1362768,2001,F,Kirsten,1224,0.00061817
1362769,2001,F,Patricia,1223,0.00061766
1362770,2001,F,Allyson,1221,0.00061665
1362771,2001,F,Makenna,1216,0.00061413
1362772,2001,F,Sandra,1208,0.00061009
1362773,2001,F,Carolina,1204,0.00060807
1362774,2001,F,Nevaeh,1199,0.00060554
1362775,2001,F,Carmen,1175,0.00059342
1362776,2001,F,Yesenia,1172,0.00059191
1362777,2001,F,Cecilia,1164,0.00058787
1362778,2001,F,Addison,1162,0.00058686
1362779,2001,F,Mariana,1162,0.00058686
1362780,2001,F,Eva,1158,0.00058484
1362781,2001,F,Tara,1158,0.00058484
1362782,2001,F,Bridget,1156,0.00058383
1362783,2001,F,Josephine,1153,0.00058231
1362784,2001,F,Skyler,1145,0.00057827
1362785,2001,F,Liliana,1141,0.00057625
1362786,2001,F,Tori,1132,0.00057171
1362787,2001,F,Priscilla,1129,0.00057019
1362788,2001,F,Alexus,1120,0.00056565
1362789,2001,F,Madeleine,1118,0.00056464
1362790,2001,F,Josie,1101,0.00055605
1362791,2001,F,Mercedes,1098,0.00055453
1362792,2001,F,Alissa,1096,0.00055352
1362793,2001,F,Celeste,1095,0.00055302
1362794,2001,F,Elisabeth,1093,0.00055201
1362795,2001,F,Kira,1093,0.00055201
1362796,2001,F,Kailey,1090,0.00055049
1362797,2001,F,Lauryn,1083,0.00054696
1362798,2001,F,Natasha,1080,0.00054544
1362799,2001,F,Melody,1079,0.00054494
1362800,2001,F,Miriam,1071,0.0005409
1362801,2001,F,Heaven,1065,0.00053787
1362802,2001,F,Amaya,1056,0.00053332
1362803,2001,F,Esther,1054,0.00053231
1362804,2001,F,Sidney,1053,0.00053181
1362805,2001,F,Shayla,1052,0.0005313
1362806,2001,F,Denise,1050,0.00053029
1362807,2001,F,India,1049,0.00052979
1362808,2001,F,Imani,1047,0.00052878
1362809,2001,F,Kassandra,1046,0.00052827
1362810,2001,F,Tessa,1046,0.00052827
1362811,2001,F,Jaden,1045,0.00052777
1362812,2001,F,Dominique,1043,0.00052676
1362813,2001,F,Logan,1041,0.00052575
1362814,2001,F,Lucy,1040,0.00052524
1362815,2001,F,Paola,1040,0.00052524
1362816,2001,F,Rose,1029,0.00051969
1362817,2001,F,Anastasia,1028,0.00051918
1362818,2001,F,Nia,1025,0.00051767
1362819,2001,F,Anne,1023,0.00051666
1362820,2001,F,Vivian,1020,0.00051514
1362821,2001,F,Anahi,1018,0.00051413
1362822,2001,F,Alaina,1006,0.00050807
1362823,2001,F,Ciara,1005,0.00050757
1362824,2001,F,Kamryn,996,0.00050302
1362825,2001,F,Bryanna,982,0.00049595
1362826,2001,F,Marisa,982,0.00049595
1362827,2001,F,Annie,979,0.00049443
1362828,2001,F,Kristin,963,0.00048635
1362829,2001,F,Kayleigh,961,0.00048534
1362830,2001,F,Brenna,960,0.00048484
1362831,2001,F,Meredith,957,0.00048332
1362832,2001,F,Clara,956,0.00048282
1362833,2001,F,Clarissa,951,0.00048029
1362834,2001,F,Kiana,948,0.00047878
1362835,2001,F,Layla,947,0.00047827
1362836,2001,F,Dana,945,0.00047726
1362837,2001,F,Dakota,943,0.00047625
1362838,2001,F,Ruth,943,0.00047625
1362839,2001,F,Rosa,934,0.00047171
1362840,2001,F,Kassidy,929,0.00046918
1362841,2001,F,Callie,918,0.00046363
1362842,2001,F,Emilee,917,0.00046312
1362843,2001,F,Marina,913,0.0004611
1362844,2001,F,Lisa,908,0.00045858
1362845,2001,F,Ashleigh,907,0.00045807
1362846,2001,F,Cristina,907,0.00045807
1362847,2001,F,Julissa,906,0.00045757
1362848,2001,F,Ellie,905,0.00045706
1362849,2001,F,Tabitha,902,0.00045555
1362850,2001,F,Whitney,899,0.00045403
1362851,2001,F,Hallie,892,0.0004505
1362852,2001,F,Helen,884,0.00044646
1362853,2001,F,Ashlee,880,0.00044444
1362854,2001,F,Carolyn,869,0.00043888
1362855,2001,F,Tiana,865,0.00043686
1362856,2001,F,Gillian,863,0.00043585
1362857,2001,F,Annabelle,862,0.00043534
1362858,2001,F,Deja,853,0.0004308
1362859,2001,F,Raquel,851,0.00042979
1362860,2001,F,Katlyn,848,0.00042827
1362861,2001,F,Deanna,842,0.00042524
1362862,2001,F,Linda,837,0.00042272
1362863,2001,F,Ivy,836,0.00042221
1362864,2001,F,Heidi,831,0.00041969
1362865,2001,F,Teresa,830,0.00041918
1362866,2001,F,Tamia,828,0.00041817
1362867,2001,F,Eleanor,826,0.00041716
1362868,2001,F,Ashlynn,824,0.00041615
1362869,2001,F,Ashton,823,0.00041565
1362870,2001,F,Destinee,823,0.00041565
1362871,2001,F,Zoey,822,0.00041514
1362872,2001,F,Annika,821,0.00041464
1362873,2001,F,Harley,820,0.00041413
1362874,2001,F,Jayden,810,0.00040908
1362875,2001,F,Jenny,810,0.00040908
1362876,2001,F,Kaitlynn,808,0.00040807
1362877,2001,F,Eliza,806,0.00040706
1362878,2001,F,Jaqueline,806,0.00040706
1362879,2001,F,Lesly,801,0.00040454
1362880,2001,F,Monique,801,0.00040454
1362881,2001,F,Krystal,795,0.00040151
1362882,2001,F,Lizbeth,795,0.00040151
1362883,2001,F,Baylee,792,0.00039999
1362884,2001,F,Madalyn,785,0.00039646
1362885,2001,F,Daniella,783,0.00039545
1362886,2001,F,Serenity,783,0.00039545
1362887,2001,F,Talia,783,0.00039545
1362888,2001,F,Lilly,782,0.00039494
1362889,2001,F,Gisselle,780,0.00039393
1362890,2001,F,Allie,777,0.00039242
1362891,2001,F,Shania,762,0.00038484
1362892,2001,F,Hailee,758,0.00038282
1362893,2001,F,Renee,754,0.0003808
1362894,2001,F,Virginia,753,0.0003803
1362895,2001,F,Yasmin,753,0.0003803
1362896,2001,F,Phoebe,752,0.00037979
1362897,2001,F,Gina,748,0.00037777
1362898,2001,F,Martha,747,0.00037727
1362899,2001,F,Regan,747,0.00037727
1362900,2001,F,Precious,746,0.00037676
1362901,2001,F,Georgia,742,0.00037474
1362902,2001,F,Eden,739,0.00037322
1362903,2001,F,Haleigh,739,0.00037322
1362904,2001,F,Angie,733,0.00037019
1362905,2001,F,Iris,733,0.00037019
1362906,2001,F,Kaylie,733,0.00037019
1362907,2001,F,Kaleigh,728,0.00036767
1362908,2001,F,Ayanna,726,0.00036666
1362909,2001,F,Marie,724,0.00036565
1362910,2001,F,Francesca,723,0.00036514
1362911,2001,F,Alayna,720,0.00036363
1362912,2001,F,Cheyanne,716,0.00036161
1362913,2001,F,Gloria,714,0.0003606
1362914,2001,F,Jayda,712,0.00035959
1362915,2001,F,Meagan,712,0.00035959
1362916,2001,F,Marisol,711,0.00035908
1362917,2001,F,Emely,709,0.00035807
1362918,2001,F,Carissa,707,0.0003570599999999
1362919,2001,F,Piper,705,0.00035605
1362920,2001,F,Janet,696,0.00035151
1362921,2001,F,Tatum,696,0.00035151
1362922,2001,F,Fiona,694,0.0003505
1362923,2001,F,Lacey,694,0.0003505
1362924,2001,F,Abbey,688,0.00034747
1362925,2001,F,Alisha,684,0.00034545
1362926,2001,F,Aurora,684,0.00034545
1362927,2001,F,Johanna,677,0.00034191
1362928,2001,F,Yasmine,676,0.00034141
1362929,2001,F,Tia,674,0.0003404
1362930,2001,F,Carla,673,0.00033989
1362931,2001,F,Jane,671,0.00033888
1362932,2001,F,Sasha,662,0.00033434
1362933,2001,F,Jacquelyn,661,0.00033383
1362934,2001,F,Dulce,659,0.00033282
1362935,2001,F,Madisyn,658,0.00033232
1362936,2001,F,Paulina,648,0.00032727
1362937,2001,F,Kiley,643,0.00032474
1362938,2001,F,Lexi,642,0.00032424
1362939,2001,F,Mckayla,642,0.00032424
1362940,2001,F,Tania,642,0.00032424
1362941,2001,F,Kierra,640,0.00032323
1362942,2001,F,Mikaela,639,0.00032272
1362943,2001,F,Noelle,639,0.00032272
1362944,2001,F,Halle,638,0.00032222
1362945,2001,F,Viviana,637,0.00032171
1362946,2001,F,Colleen,636,0.00032121
1362947,2001,F,Alice,631,0.00031868
1362948,2001,F,Susan,630,0.00031818
1362949,2001,F,Hunter,628,0.00031717
1362950,2001,F,Taryn,628,0.00031717
1362951,2001,F,Madyson,627,0.00031666
1362952,2001,F,Emilie,625,0.00031565
1362953,2001,F,Kaylin,625,0.00031565
1362954,2001,F,Justice,624,0.00031515
1362955,2001,F,Tamara,623,0.00031464
1362956,2001,F,Krista,621,0.00031363
1362957,2001,F,Nora,621,0.00031363
1362958,2001,F,Cassie,619,0.00031262
1362959,2001,F,Kasey,617,0.00031161
1362960,2001,F,Macie,617,0.00031161
1362961,2001,F,Jessie,611,0.00030858
1362962,2001,F,Laila,611,0.00030858
1362963,2001,F,Ellen,608,0.00030706
1362964,2001,F,Alyson,607,0.00030656
1362965,2001,F,Carley,607,0.00030656
1362966,2001,F,Brandi,604,0.00030504
1362967,2001,F,Cara,604,0.00030504
1362968,2001,F,Cora,603,0.00030454
1362969,2001,F,Skye,602,0.00030403
1362970,2001,F,Theresa,601,0.00030353
1362971,2001,F,Kiera,600,0.00030302
1362972,2001,F,Amari,599,0.00030252
1362973,2001,F,Daphne,597,0.00030151
1362974,2001,F,Jadyn,597,0.00030151
1362975,2001,F,Tiara,597,0.00030151
1362976,2001,F,Leilani,593,0.00029949
1362977,2001,F,Kali,592,0.00029898
1362978,2001,F,Bailee,591,0.00029848
1362979,2001,F,Sage,589,0.00029747
1362980,2001,F,Angelique,588,0.00029696
1362981,2001,F,Janelle,588,0.00029696
1362982,2001,F,Brandy,587,0.00029646
1362983,2001,F,Sharon,587,0.00029646
1362984,2001,F,Malia,585,0.00029545
1362985,2001,F,Alivia,584,0.00029494
1362986,2001,F,Genevieve,582,0.00029393
1362987,2001,F,Maddison,581,0.00029343
1362988,2001,F,Joy,580,0.00029292
1362989,2001,F,Jaclyn,579,0.00029242
1362990,2001,F,Pamela,579,0.00029242
1362991,2001,F,Ainsley,578,0.00029191
1362992,2001,F,Itzel,577,0.00029141
1362993,2001,F,Charity,575,0.0002904
1362994,2001,F,Alina,574,0.00028989
1362995,2001,F,Kiersten,573,0.00028939
1362996,2001,F,Mayra,571,0.00028838
1362997,2001,F,Melina,569,0.00028737
1362998,2001,F,Tyler,569,0.00028737
1362999,2001,F,Irene,567,0.00028636
1363000,2001,F,Leila,566,0.00028585
1363001,2001,F,Eliana,563,0.00028434
1363002,2001,F,Macey,561,0.00028333
1363003,2001,F,Elisa,557,0.00028131
1363004,2001,F,Rhiannon,553,0.00027929
1363005,2001,F,Aniya,552,0.00027878
1363006,2001,F,Marilyn,552,0.00027878
1363007,2001,F,Athena,551,0.00027828
1363008,2001,F,Aileen,550,0.00027777
1363009,2001,F,Karissa,550,0.00027777
1363010,2001,F,Lucia,550,0.00027777
1363011,2001,F,Felicity,549,0.00027727
1363012,2001,F,Nyah,547,0.00027626
1363013,2001,F,Abbigail,544,0.00027474
1363014,2001,F,Alanna,543,0.00027424
1363015,2001,F,Paris,542,0.00027373
1363016,2001,F,Sonia,542,0.00027373
1363017,2001,F,Larissa,533,0.00026919
1363018,2001,F,Perla,533,0.00026919
1363019,2001,F,Elaina,530,0.00026767
1363020,2001,F,Abbie,526,0.00026565
1363021,2001,F,Brisa,524,0.00026464
1363022,2001,F,Kelsie,524,0.00026464
1363023,2001,F,Miracle,524,0.00026464
1363024,2001,F,Alma,522,0.00026363
1363025,2001,F,Luz,517,0.00026111
1363026,2001,F,Brooklynn,515,0.0002601
1363027,2001,F,Carlie,515,0.0002601
1363028,2001,F,America,513,0.00025909
1363029,2001,F,Sylvia,513,0.00025909
1363030,2001,F,Zaria,512,0.00025858
1363031,2001,F,Kyleigh,509,0.00025707
1363032,2001,F,Lesley,509,0.00025707
1363033,2001,F,Anya,508,0.00025656
1363034,2001,F,Chasity,508,0.00025656
1363035,2001,F,Kaila,508,0.00025656
1363036,2001,F,Kaley,508,0.00025656
1363037,2001,F,Ann,506,0.00025555
1363038,2001,F,Simone,506,0.00025555
1363039,2001,F,Maritza,504,0.00025454
1363040,2001,F,Kailee,503,0.00025404
1363041,2001,F,Eve,500,0.00025252
1363042,2001,F,Rylie,500,0.00025252
1363043,2001,F,Tatyana,500,0.00025252
1363044,2001,F,Madelynn,498,0.00025151
1363045,2001,F,Nathalie,497,0.00025101
1363046,2001,F,Izabella,495,0.00024999
1363047,2001,F,Janae,495,0.00024999
1363048,2001,F,Aniyah,491,0.00024797
1363049,2001,F,Chelsey,491,0.00024797
1363050,2001,F,Barbara,490,0.00024747
1363051,2001,F,Deborah,490,0.00024747
1363052,2001,F,Marlene,487,0.00024595
1363053,2001,F,Isis,485,0.00024494
1363054,2001,F,Justine,482,0.00024343
1363055,2001,F,Lexie,480,0.00024242
1363056,2001,F,Sarai,480,0.00024242
1363057,2001,F,Araceli,479,0.00024191
1363058,2001,F,Raegan,478,0.00024141
1363059,2001,F,Tianna,478,0.00024141
1363060,2001,F,Cristal,477,0.0002409
1363061,2001,F,Felicia,475,0.00023989
1363062,2001,F,Noemi,475,0.00023989
1363063,2001,F,Nichole,470,0.00023737
1363064,2001,F,Aspen,467,0.00023585
1363065,2001,F,Julianne,467,0.00023585
1363066,2001,F,Lena,467,0.00023585
1363067,2001,F,Kenya,466,0.00023535
1363068,2001,F,Ryan,465,0.00023484
1363069,2001,F,Leticia,461,0.00023282
1363070,2001,F,Clare,460,0.00023232
1363071,2001,F,Jaelyn,460,0.00023232
1363072,2001,F,Juliet,460,0.00023232
1363073,2001,F,Lorena,460,0.00023232
1363074,2001,F,Shyanne,460,0.00023232
1363075,2001,F,Anika,456,0.0002303
1363076,2001,F,Esperanza,455,0.00022979
1363077,2001,F,Regina,454,0.00022929
1363078,2001,F,Arielle,452,0.00022828
1363079,2001,F,Jaiden,451,0.00022777
1363080,2001,F,Aimee,449,0.00022676
1363081,2001,F,Kelli,448,0.00022626
1363082,2001,F,Judith,446,0.00022525
1363083,2001,F,Madilyn,446,0.00022525
1363084,2001,F,Jaida,443,0.00022373
1363085,2001,F,Camila,442,0.00022323
1363086,2001,F,Reyna,441,0.00022272
1363087,2001,F,Sydnee,441,0.00022272
1363088,2001,F,Tyra,440,0.00022222
1363089,2001,F,Ciera,439,0.00022171
1363090,2001,F,Zoie,439,0.00022171
1363091,2001,F,Destiney,438,0.00022121
1363092,2001,F,Tayler,438,0.00022121
1363093,2001,F,Corinne,434,0.00021919
1363094,2001,F,Jazlyn,433,0.00021868
1363095,2001,F,Toni,432,0.00021818
1363096,2001,F,Carrie,430,0.00021717
1363097,2001,F,Nataly,430,0.00021717
1363098,2001,F,Juliette,429,0.00021666
1363099,2001,F,Frances,428,0.00021616
1363100,2001,F,Edith,427,0.00021565
1363101,2001,F,Amya,426,0.00021515
1363102,2001,F,Celia,424,0.00021414
1363103,2001,F,Litzy,424,0.00021414
1363104,2001,F,Marley,423,0.00021363
1363105,2001,F,Mollie,423,0.00021363
1363106,2001,F,Stella,422,0.00021313
1363107,2001,F,Cayla,421,0.00021262
1363108,2001,F,Fernanda,418,0.00021111
1363109,2001,F,Paula,418,0.00021111
1363110,2001,F,Jewel,417,0.0002106
1363111,2001,F,Maia,417,0.0002106
1363112,2001,F,Stacy,417,0.0002106
1363113,2001,F,Tanya,417,0.0002106
1363114,2001,F,Carina,415,0.00020959
1363115,2001,F,Helena,415,0.00020959
1363116,2001,F,Antonia,414,0.00020909
1363117,2001,F,Bella,413,0.00020858
1363118,2001,F,Citlalli,413,0.00020858
1363119,2001,F,Joselyn,412,0.00020808
1363120,2001,F,Devin,410,0.00020707
1363121,2001,F,Kaya,410,0.00020707
1363122,2001,F,Breana,408,0.00020606
1363123,2001,F,Elaine,408,0.00020606
1363124,2001,F,Laney,408,0.00020606
1363125,2001,F,Nya,408,0.00020606
1363126,2001,F,Emilia,407,0.00020555
1363127,2001,F,Eileen,406,0.00020505
1363128,2001,F,Skyla,406,0.00020505
1363129,2001,F,Karlee,405,0.00020454
