loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,purpose
10450,10450,10450,36 months,0.1894,382.74,D,D2,Project Manager,10+ years,MORTGAGE,70000,Source Verified,Dec-18,Current,n,debt_consolidation
10000,10000,10000,36 months,0.1180,331.19,B,B4,Service tech.,9 years,RENT,100000,Not Verified,Dec-18,Current,n,credit_card
10000,10000,10000,36 months,0.1894,366.26,D,D2,Especialist 1,7 years,MORTGAGE,37115,Not Verified,Dec-18,Current,n,other
5000,5000,5000,36 months,0.1131,164.43,B,B3,Shipping,2 years,RENT,40000,Source Verified,Dec-18,Current,n,debt_consolidation
17100,17100,17100,36 months,0.1894,626.3,D,D2,Receptionist ,10+ years,RENT,38000,Verified,Dec-18,Current,n,debt_consolidation
20000,20000,20000,36 months,0.0756,622.68,A,A3,Teacher,10+ years,MORTGAGE,100000,Not Verified,Dec-18,Fully Paid,n,credit_card
10475,10475,10475,36 months,0.1131,344.48,B,B3,Teacher,6 years,RENT,66150,Source Verified,Dec-18,Current,n,debt_consolidation
10000,10000,10000,60 months,0.2340,284.21,E,E1,,< 1 year,RENT,55000,Source Verified,Dec-18,Current,n,debt_consolidation
7500,7500,7500,36 months,0.1131,246.65,B,B3,Supervisor,7 years,MORTGAGE,40500,Verified,Dec-18,Current,n,debt_consolidation
4000,4000,4000,36 months,0.1072,130.43,B,B2,Extrusion assistant ,10+ years,MORTGAGE,56000,Verified,Dec-18,Current,n,credit_card
15400,15400,15400,60 months,0.1447,362.1,C,C2,DISTRICT SALES MANAGER,3 years,MORTGAGE,110000,Not Verified,Dec-18,Current,n,debt_consolidation
35000,35000,35000,36 months,0.1447,1204.23,C,C2,Staff Physician,8 years,MORTGAGE,360000,Verified,Dec-18,Current,n,credit_card
5000,5000,5000,36 months,0.2235,191.86,D,D5,Director of Sales,10+ years,MORTGAGE,72000,Source Verified,Dec-18,Current,n,debt_consolidation
4800,4800,4800,36 months,0.1691,170.92,C,C5,Server,9 years,RENT,38500,Source Verified,Dec-18,Current,n,credit_card
10000,10000,10000,60 months,0.1298,227.43,B,B5,Printer,9 years,RENT,60000,Not Verified,Dec-18,Current,n,credit_card
7500,7500,7500,36 months,0.1072,244.55,B,B2,Program Manager,2 years,RENT,84000,Not Verified,Dec-18,Current,n,debt_consolidation
16000,16000,16000,60 months,0.1797,406.04,D,D1,Surgery scheduler,2 years,RENT,35000,Verified,Dec-18,Current,n,debt_consolidation
7200,7200,7200,36 months,0.2340,280.22,E,E1,Mail Processing Clerk ,2 years,RENT,56000,Not Verified,Dec-18,Current,n,debt_consolidation
27975,27975,27975,36 months,0.1447,962.52,C,C2,Conductor ,10+ years,MORTGAGE,180000,Not Verified,Dec-18,Current,n,credit_card
16000,16000,16000,60 months,0.1356,368.66,C,C1,LMSW,10+ years,RENT,46000,Not Verified,Dec-18,Current,n,credit_card
15000,15000,15000,36 months,0.1072,489.1,B,B2,Attorney,3 years,MORTGAGE,150000,Not Verified,Dec-18,Current,n,debt_consolidation
9000,9000,9000,36 months,0.1180,298.07,B,B4,Teacher,10+ years,MORTGAGE,85000,Source Verified,Dec-18,Current,n,credit_card
1000,1000,1000,36 months,0.1894,36.63,D,D2,Lpn,3 years,MORTGAGE,57000,Source Verified,Dec-18,Current,n,debt_consolidation
10000,10000,10000,36 months,0.1131,328.86,B,B3,Medical Technologist,3 years,RENT,67427,Source Verified,Dec-18,Current,n,major_purchase
28000,28000,28000,60 months,0.1356,645.15,C,C1,Project Manager,10+ years,MORTGAGE,128500,Source Verified,Dec-18,Current,n,credit_card
25000,25000,25000,60 months,0.1447,587.82,C,C2,teacher,10+ years,OWN,110000,Not Verified,Dec-18,Current,n,credit_card
23000,23000,23000,36 months,0.1131,756.38,B,B3,Sr. CAE Analyst,3 years,MORTGAGE,145000,Source Verified,Dec-18,Current,n,debt_consolidation
25000,25000,25000,60 months,0.1298,568.58,B,B5,Tire builder,10+ years,MORTGAGE,85000,Not Verified,Dec-18,Current,n,debt_consolidation
30000,30000,30000,60 months,0.2727,920.91,E,E5,Claims Analyst,1 year,RENT,50000,Not Verified,Dec-18,Current,n,debt_consolidation
16800,16800,16800,60 months,0.1797,426.34,D,D1,procurement supervisor,10+ years,RENT,75000,Not Verified,Dec-18,Current,n,debt_consolidation
25000,25000,25000,60 months,0.1502,595.02,C,C3,radiologic technologist,10+ years,MORTGAGE,75000,Not Verified,Dec-18,Current,n,debt_consolidation
10000,10000,10000,36 months,0.1614,352.27,C,C4,Training Manager,10+ years,MORTGAGE,94800,Source Verified,Dec-18,Current,n,credit_card
20000,20000,20000,60 months,0.1298,454.86,B,B5,RN ,1 year,MORTGAGE,70000,Verified,Dec-18,Current,n,debt_consolidation
35000,35000,35000,60 months,0.1502,833.02,C,C3,elementary school teacher,10+ years,MORTGAGE,106095,Source Verified,Dec-18,Current,n,debt_consolidation
4000,4000,4000,36 months,0.1894,146.51,D,D2,supervisor,10+ years,OWN,80000,Verified,Dec-18,Current,n,other
10000,10000,10000,60 months,0.1614,243.93,C,C4,Sale Consultant,2 years,RENT,90000,Not Verified,Dec-18,Current,n,debt_consolidation
4500,4500,4500,36 months,0.1131,147.99,B,B3,Accounts Examiner III,10+ years,RENT,38500,Not Verified,Dec-18,Fully Paid,n,credit_card
14000,14000,14000,60 months,0.2631,421.74,E,E4,,n/a,RENT,55000,Not Verified,Dec-18,Current,n,debt_consolidation
6500,6500,6500,36 months,0.1180,215.28,B,B4,Educator ,2 years,RENT,46500,Source Verified,Dec-18,Current,n,debt_consolidation
16000,16000,16000,60 months,0.2727,491.16,E,E5,General Manager,7 years,OWN,88000,Source Verified,Dec-18,Current,n,debt_consolidation
29625,29625,29625,60 months,0.1502,705.09,C,C3,,< 1 year,OWN,48000,Not Verified,Dec-18,Current,n,debt_consolidation
15500,15500,15500,36 months,0.1072,505.4,B,B2,Administrative Assistant ,10+ years,RENT,52000,Not Verified,Dec-18,Current,n,credit_card
31450,31450,31450,36 months,0.0756,979.16,A,A3,Construction Manager,7 years,MORTGAGE,130000,Verified,Dec-18,Current,n,debt_consolidation
36000,36000,36000,60 months,0.1797,913.58,D,D1,Pharmacist,9 years,RENT,160000,Source Verified,Dec-18,Current,n,debt_consolidation
12000,12000,12000,36 months,0.1180,397.43,B,B4,Transportation Manager,10+ years,RENT,79365,Source Verified,Dec-18,Current,n,debt_consolidation
30000,30000,30000,36 months,0.1614,1056.79,C,C4,Structural Engineer,7 years,MORTGAGE,116000,Source Verified,Dec-18,Current,n,debt_consolidation
3000,3000,3000,36 months,0.1797,108.42,D,D1,IT Assistant,10+ years,RENT,50000,Source Verified,Dec-18,Current,n,debt_consolidation
35000,35000,35000,36 months,0.1298,1178.96,B,B5,Anti Money Laundering Compliance Manager,2 years,RENT,112000,Source Verified,Dec-18,Current,n,debt_consolidation
26500,26500,26500,60 months,0.1131,580.28,B,B3,Compliance Director,10+ years,MORTGAGE,134000,Source Verified,Dec-18,Current,n,credit_card
25000,25000,25000,60 months,0.2089,674.79,D,D4,Veterinary Assistant ,1 year,MORTGAGE,70000,Not Verified,Dec-18,Current,n,debt_consolidation
1000,1000,975,36 months,0.0819,31.43,A,A4,Project manager,10+ years,MORTGAGE,78000,Source Verified,Dec-18,Current,n,other
30000,30000,30000,36 months,0.2235,1151.16,D,D5,Supervisor ,5 years,MORTGAGE,100000,Source Verified,Dec-18,Fully Paid,n,debt_consolidation
16000,16000,16000,60 months,0.2089,431.87,D,D4,Regional Manager,10+ years,RENT,200000,Verified,Dec-18,Current,n,credit_card
8500,8500,8500,36 months,0.1691,302.67,C,C5,DIRECT CARE PROVIDER,7 years,MORTGAGE,70200,Not Verified,Dec-18,Current,n,debt_consolidation
3000,3000,3000,36 months,0.0881,95.14,A,A5,,n/a,RENT,71250,Not Verified,Dec-18,Current,n,debt_consolidation
16000,16000,16000,36 months,0.2340,622.7,E,E1,account manager,10+ years,MORTGAGE,140000,Not Verified,Dec-18,Current,n,credit_card
6500,6500,6500,36 months,0.1797,234.9,D,D1,Quality Field Engineer,4 years,MORTGAGE,154000,Source Verified,Dec-18,Current,n,debt_consolidation
5500,5500,5500,36 months,0.2235,211.05,D,D5,,< 1 year,MORTGAGE,50000,Not Verified,Dec-18,Current,n,credit_card
28000,28000,28000,60 months,0.1131,613.13,B,B3,Consultant,2 years,MORTGAGE,70000,Not Verified,Dec-18,Current,n,credit_card
11200,11200,11200,36 months,0.0819,351.95,A,A4,Job Coach Supervisor,10+ years,MORTGAGE,65000,Not Verified,Dec-18,Current,n,credit_card
6000,6000,6000,36 months,0.1447,206.44,C,C2,,< 1 year,OWN,300000,Not Verified,Dec-18,Current,n,debt_consolidation
22000,22000,22000,60 months,0.1298,500.35,B,B5,Teller ,10+ years,MORTGAGE,65000,Source Verified,Dec-18,Current,n,debt_consolidation
3500,3500,3500,36 months,0.1614,123.3,C,C4,respritory therapist,10+ years,MORTGAGE,80000,Verified,Dec-18,Current,n,debt_consolidation
10000,10000,10000,36 months,0.2089,376.19,D,D4,Foreman shop ,7 years,RENT,74000,Not Verified,Dec-18,Current,n,credit_card
6000,6000,5975,36 months,0.0646,183.79,A,A1,Substance Abuse Counselor,1 year,MORTGAGE,40000,Source Verified,Dec-18,Current,n,credit_card
25000,25000,25000,60 months,0.2727,767.43,E,E5,Business Intelligence Engineer,5 years,MORTGAGE,171000,Not Verified,Dec-18,Current,n,credit_card
20000,20000,20000,36 months,0.1298,673.69,B,B5,FC,5 years,RENT,74800,Not Verified,Dec-18,Current,n,debt_consolidation
25000,25000,25000,60 months,0.1797,634.43,D,D1,Information technology ,7 years,RENT,53000,Verified,Dec-18,Current,n,debt_consolidation
2200,2200,2200,36 months,0.1502,76.29,C,C3,,n/a,RENT,70000,Not Verified,Dec-18,Current,n,debt_consolidation
18000,18000,18000,36 months,0.0881,570.81,A,A5,Sever,< 1 year,RENT,40000,Source Verified,Dec-18,Current,n,debt_consolidation
5525,5525,5525,36 months,0.1502,191.59,C,C3,Vice President,10+ years,RENT,118000,Not Verified,Dec-18,Current,n,car
2525,2525,2525,36 months,0.1691,89.92,C,C5,Tech Driver,1 year,RENT,21000,Verified,Dec-18,Current,n,credit_card
32000,32000,32000,60 months,0.1447,752.41,C,C2,Teacher,10+ years,MORTGAGE,110000,Source Verified,Dec-18,Current,n,home_improvement
16000,16000,16000,36 months,0.2534,639.04,E,E3,Operations Manager,2 years,RENT,52000,Verified,Dec-18,Current,n,debt_consolidation
16000,16000,16000,36 months,0.1447,550.51,C,C2,,< 1 year,RENT,200000,Source Verified,Dec-18,Current,n,debt_consolidation
18500,18500,18500,60 months,0.1298,420.75,B,B5,Supply Chain Analyst,5 years,RENT,96500,Source Verified,Dec-18,Current,n,credit_card
3000,3000,2975,36 months,0.1072,97.82,B,B2,,n/a,MORTGAGE,30000,Not Verified,Dec-18,Current,n,credit_card
23000,23000,23000,60 months,0.1992,608.34,D,D3,,n/a,OWN,75000,Not Verified,Dec-18,Current,n,debt_consolidation
1500,1500,1500,36 months,0.1797,54.21,D,D1,Product Line Specilalist ,10+ years,MORTGAGE,56160,Verified,Dec-18,Current,n,other
24000,24000,24000,60 months,0.1298,545.83,B,B5,Medical Doctor,10+ years,MORTGAGE,380000,Not Verified,Dec-18,Current,n,debt_consolidation
5000,5000,5000,36 months,0.1614,176.14,C,C4,Enrollment Services Advisor,3 years,RENT,50000,Source Verified,Dec-18,Current,n,credit_card
25000,25000,25000,36 months,0.1033,810.56,B,B1,Army,10+ years,MORTGAGE,80000,Not Verified,Dec-18,Current,n,debt_consolidation
2500,2500,2500,36 months,0.2089,94.05,D,D4,Room Attendant,3 years,RENT,29000,Source Verified,Dec-18,Current,n,other
9600,9600,9600,36 months,0.2340,373.62,E,E1,Sales VP,3 years,RENT,100000,Not Verified,Dec-18,Current,n,small_business
12000,12000,12000,60 months,0.1447,282.16,C,C2,MAINTENANCE ,10+ years,RENT,62000,Not Verified,Dec-18,Current,n,debt_consolidation
5000,5000,5000,36 months,0.1614,176.14,C,C4,Plant Logistics Manager,< 1 year,MORTGAGE,115000,Not Verified,Dec-18,Current,n,other
8000,8000,8000,36 months,0.2340,311.35,E,E1,Medical Coder,1 year,RENT,49400,Verified,Dec-18,Current,n,other
10000,10000,10000,36 months,0.1131,328.86,B,B3,,n/a,MORTGAGE,10020,Verified,Dec-18,Current,n,other
7000,7000,7000,36 months,0.1502,242.73,C,C3,General Manager ,7 years,MORTGAGE,52000,Not Verified,Dec-18,Current,n,debt_consolidation
9000,9000,9000,36 months,0.1033,291.81,B,B1,Millwright,4 years,MORTGAGE,75000,Not Verified,Dec-18,Current,n,credit_card
9600,9600,9600,36 months,0.1502,332.89,C,C3,Fuel truck driver,10+ years,OWN,60000,Not Verified,Dec-18,Current,n,debt_consolidation
8000,8000,8000,36 months,0.1072,260.86,B,B2,Publications and Images Project Manager,10+ years,MORTGAGE,82923,Source Verified,Dec-18,Fully Paid,n,car
12000,12000,12000,36 months,0.1614,422.72,C,C4,Trainer,6 years,RENT,24000,Source Verified,Dec-18,Current,n,credit_card
20000,20000,20000,36 months,0.1356,679.29,C,C1,Armed Security officer,9 years,MORTGAGE,40000,Verified,Dec-18,Current,n,debt_consolidation
40000,40000,40000,60 months,0.1447,940.51,C,C2,,< 1 year,MORTGAGE,500000,Source Verified,Dec-18,Current,n,debt_consolidation
14400,14400,14400,60 months,0.1447,338.59,C,C2,Director,3 years,RENT,110000,Not Verified,Dec-18,Current,n,debt_consolidation
25000,25000,25000,36 months,0.1033,810.56,B,B1,Agent,2 years,OWN,78000,Not Verified,Dec-18,Current,n,debt_consolidation
22400,22400,22400,36 months,0.0881,710.34,A,A5,Manager,2 years,MORTGAGE,30000,Source Verified,Dec-18,Current,n,debt_consolidation
26000,26000,26000,60 months,0.1894,673.6,D,D2,Mortgage loan processor,10+ years,MORTGAGE,40000,Source Verified,Dec-18,Current,n,debt_consolidation
25000,25000,25000,60 months,0.1502,595.02,C,C3,CFO ,10+ years,MORTGAGE,63500,Verified,Dec-18,Current,n,debt_consolidation
